"Date","MC.PA.Open","MC.PA.High","MC.PA.Low","MC.PA.Close","MC.PA.Volume","MC.PA.Adjusted"
2023-02-08,814.299987792969,818.099975585938,798.5,800.099975585938,319321,742.77392578125
2023-02-09,807.700012207031,813.799987792969,806.900024414062,809.200012207031,275408,751.221984863281
2023-02-10,804.700012207031,808,790.799987792969,797.599975585938,395687,740.453063964844
2023-02-13,800.5,812.900024414062,798,810.299987792969,244265,752.243103027344
2023-02-14,811.299987792969,817.599975585938,804.5,810.5,263811,752.428894042969
2023-02-15,809.299987792969,830,807.599975585938,822.599975585938,378844,763.661926269531
2023-02-16,821.799987792969,829.200012207031,818.099975585938,823.299987792969,314812,764.311767578125
2023-02-17,814.200012207031,823.599975585938,804.599975585938,818.400024414062,439757,759.762878417969
2023-02-20,820.5,820.5,810.099975585938,813.599975585938,168536,755.306701660156
2023-02-21,808.599975585938,812.299987792969,798.5,808.900024414062,264826,750.943481445312
2023-02-22,801.400024414062,812.099975585938,793.900024414062,809.5,289482,751.500427246094
2023-02-23,809.700012207031,814.299987792969,806.599975585938,809,273432,751.036315917969
2023-02-24,811.400024414062,812.700012207031,777.299987792969,777.299987792969,839007,721.607604980469
2023-02-27,788.299987792969,800.200012207031,787.599975585938,794.799987792969,312317,737.853759765625
2023-02-28,790,795.799987792969,787.400024414062,789,440118,732.469299316406
2023-03-01,803.299987792969,810.5,790.900024414062,792.200012207031,379198,735.440002441406
2023-03-02,785.299987792969,805.900024414062,780.900024414062,804.299987792969,350482,746.673095703125
2023-03-03,808.599975585938,817.099975585938,804.400024414062,815.099975585938,302048,756.69921875
2023-03-06,826,830.700012207031,820.799987792969,825,333821,765.889953613281
2023-03-07,816.700012207031,826.400024414062,815.700012207031,816.099975585938,307546,757.627563476562
2023-03-08,805,818.299987792969,804.400024414062,810.400024414062,306714,752.336059570312
2023-03-09,809,811,802.599975585938,805.200012207031,305905,747.508605957031
2023-03-10,790,807.299987792969,785,802.599975585938,424800,745.094848632812
2023-03-13,803.700012207031,805.799987792969,775.5,781.700012207031,656071,725.692260742188
2023-03-14,785.299987792969,804.5,782.299987792969,800.5,471562,743.145263671875
2023-03-15,797.599975585938,800.400024414062,767.599975585938,774.700012207031,658997,719.19384765625
2023-03-16,785.299987792969,809.299987792969,776.700012207031,801.700012207031,600374,744.259399414062
2023-03-17,805,808,784.5,787.299987792969,932225,730.891052246094
2023-03-20,790.200012207031,810.5,780.700012207031,804.5,447024,746.858825683594
2023-03-21,810.700012207031,815.599975585938,803.299987792969,806.700012207031,294749,748.901000976562
2023-03-22,804.700012207031,816.799987792969,802.400024414062,814.900024414062,256456,756.513610839844
2023-03-23,811.799987792969,821,809.099975585938,820.799987792969,277171,761.990844726562
2023-03-24,818,820.599975585938,809.700012207031,813.400024414062,375369,755.12109375
2023-03-27,819.400024414062,821.799987792969,813.099975585938,817,307155,758.463134765625
2023-03-28,824.299987792969,831,813.400024414062,814.200012207031,331452,755.863708496094
2023-03-29,820.900024414062,830,820.5,822,399785,763.10498046875
2023-03-30,827,835.200012207031,821.599975585938,827,335213,767.746643066406
2023-03-31,828.900024414062,848.200012207031,828.200012207031,844.400024414062,482929,783.899963378906
2023-04-03,840.900024414062,845.200012207031,839.900024414062,844.099975585938,263789,783.621459960938
2023-04-04,846,852,840.400024414062,851,298342,790.027099609375
2023-04-05,850,855.200012207031,842.200012207031,844.599975585938,337453,784.085571289062
2023-04-06,841.599975585938,842.799987792969,826.700012207031,829.099975585938,369459,769.696105957031
2023-04-11,837,848,831.400024414062,840.700012207031,386327,780.465087890625
2023-04-12,846,846.799987792969,832,836.599975585938,355214,776.65869140625
2023-04-13,866,884.5,861.700012207031,883.900024414062,567492,820.569946289062
2023-04-14,890.799987792969,894.900024414062,886.599975585938,892.799987792969,390098,828.832092285156
2023-04-17,893.5,894.700012207031,869.900024414062,873.599975585938,411960,811.0078125
2023-04-18,870.299987792969,887.099975585938,869.599975585938,877.5,337609,814.62841796875
2023-04-19,877,889.5,875.5,885,234283,821.591003417969
2023-04-20,880.5,897,880.5,896.5,372465,832.267028808594
2023-04-21,890.299987792969,901.099975585938,888.799987792969,901.099975585938,409312,836.537475585938
2023-04-24,892.099975585938,904.599975585938,891.599975585938,902,319706,837.372985839844
2023-04-25,890,893.900024414062,884.099975585938,889.400024414062,287091,832.133605957031
2023-04-26,883.799987792969,883.799987792969,865.700012207031,875.400024414062,426044,819.035034179688
2023-04-27,874.5,890.400024414062,872.099975585938,877.099975585938,301676,820.625549316406
2023-04-28,878.099975585938,881.299987792969,861.900024414062,871,460819,814.918273925781
2023-05-02,874.099975585938,877.599975585938,865.200012207031,868.700012207031,351365,812.766357421875
2023-05-03,870,886.5,870,879.200012207031,256993,822.59033203125
2023-05-04,877.200012207031,879.599975585938,870.099975585938,873.700012207031,323073,817.444458007812
2023-05-05,879.400024414062,880.599975585938,868.400024414062,876.900024414062,320258,820.438415527344
2023-05-08,880,887.200012207031,877.799987792969,884.5,211356,827.549011230469
